10.01,2.38,2.4,-0.33,-10.07,-0.96,0,-0.67,1013.68,3.79,0.82,1.73,2.17,2.44,2.44,93,68,40.72,46.08,46.12,-3.26,883.22,-23.81,-9.3,2.74,7.31,8.7,7.66,0,14.8,13.2,4.4,1.5,1.3,-2.733333333
8.74,2.53,2.5,-0.78,-9.74,-2.21,0,-2.18,1014.35,-0.97,0.38,1.62,2.22,2.32,2.32,49.5,68,43,51.5,52.5,-4.44,883.62,-25.28,-10.01,2.67,6.96,8.2,0,0,15,13.7,5.3,1.6,1.5,-1.366666667
10.1,2.78,2.8,-2.13,-9.73,-2.69,0,-2.73,1015.13,-2.11,0.03,1.76,2.17,2.27,2.27,3,74,43,50.5,51,-4.17,884.07,-22.74,-10,2.12,6.61,7.8,0,0,21.1,13.8,5.3,1.8,1.7,4.733333333
10.97,2.73,2.7,-2.45,-10.05,-3.95,0,-3.97,1017.33,-2.53,0.05,1.37,2.05,2.22,2.22,5,60.5,47.5,54.5,55,-4.99,885.19,-22.47,-10.57,-0.28,4.09,5.26,0,0,21.8,15.7,4.7,1.8,1.5,5.866666667
12.47,2.83,2.8,-3.16,-13.34,-5.26,0,-5.23,1018.66,-3.95,0.09,0.82,1.62,1.96,1.95,10.5,38,43.23,50.75,51.21,-6.15,885.4,-23.53,-10.95,-2.29,2.12,3.29,0,0,22.1,14.5,4.4,2.2,1.8,1.455555556
14.41,3.2,3.2,-3.76,-14.98,-5,0,-5.9,1021.91,-5.14,0.09,0.79,1.36,1.61,1.61,10.06,34,40.7,45.02,45.17,-4.99,887.62,-23.66,-10.41,-3.64,0.52,1.82,0,0,19.4,10.9,5.2,2.3,2,-0.777777778
0,1.5,1.5,-0.79,-11.88,-1.95,0,0,1018.78,0,0.5,1.17,1.85,1.83,1.83,53.5,43.5,42.5,44.5,44.5,-2.24,886.09,-23.27,-8.62,-0.11,3.99,5.16,8.05,0,8.3,6.4,4.5,1.4,1.4,-2.788888889
10.06,3.33,3.3,-0.27,-12.1,3.26,0,-1.95,1016.08,3.15,0.26,0.86,1.9,1.9,1.89,29,34,38.5,33.26,32.74,5.72,884.87,-23.5,-8.94,1.26,5.99,7.53,0,0,9.7,10.2,5.8,3.3,3.3,-3.422222222
10.21,3.26,3.3,-0.73,-12.82,3.92,0,3.26,1012.95,4.13,0.1,1.3,1.9,1.92,1.92,9.5,52.5,33.66,30.27,29.41,5.61,882.9,-23.57,-9.5,3.05,7.77,9.35,9.06,0,10.9,12.2,5.5,3.2,3.3,-2.344444444
9.8,2.42,2.4,-0.42,-11.36,-0.93,0,-0.61,1013.3,3.91,0.62,1.6,1.94,2.01,2.01,75,63,36.19,39.43,38.97,-3.68,882.88,-24.5,-9.31,2.81,7.23,8.58,6.8,0,8.1,14.7,4.9,1.6,1.5,-2.733333333
9.33,2.41,2.4,-1.04,-11.17,-2.21,0,-2.16,1014.45,-0.93,0.61,1.7,1.96,2,2,77,70,38,46,46.5,-4.13,883.58,-24.9,-9.71,2.57,6.79,7.98,0.55,0,13.4,12.7,5.5,1.7,1.6,-1.366666667
11.14,2.92,2.9,-2.6,-10.12,-3.12,0,-3.28,1015.77,-2.21,0.03,1.84,2.08,2,1.99,3.5,75.26,43.5,47.5,48.5,-4.36,884.47,-23.5,-9.74,1.28,5.67,6.81,0,0,20.5,13.7,4.2,1.6,1.4,4.733333333
11.17,2.75,2.8,-2.5,-9.92,-4.28,0,-4.2,1017.53,-3.08,0.05,1.38,2.15,2.13,2.13,5.03,60.56,51.5,55,55.5,-5.24,885.13,-22.65,-10.59,-0.59,3.85,4.97,0,0,21.5,15.5,4.4,1.9,1.6,5.866666667
13.27,2.87,2.9,-3.54,-15.56,-5.57,0,-5.54,1019.45,-4.28,0.09,0.93,1.36,1.83,1.83,10.07,42.29,37.85,49.58,49.73,-6.46,885.87,-23.63,-11,-2.91,1.61,2.74,0,0,22.3,14.5,4.5,2.4,2.1,1.455555556
14.37,3.08,3.1,-3.78,-15.2,-5.41,0,-6.3,1022.21,-5.53,0.07,0.69,1.33,1.47,1.47,7.5,30.4,41.19,43.01,44.15,-5.35,887.68,-23.72,-10.64,-4.04,0.11,1.44,0,0,19.3,11.6,4.6,2,1.8,-0.777777778
14.19,2.83,2.8,-3.48,-15.63,-1.04,0,-5.41,1021.43,-1.18,0.09,0.51,1.33,1.33,1.33,10,21.03,32.3,28.09,27.34,1.48,888.55,-24.11,-9.8,-1.47,3.26,4.78,0,0,16.9,10.8,4.6,3.1,3,-0.255555556
13.18,2.66,2.7,-3.21,-16.94,0.19,0,-1.04,1020.18,0.22,0.16,0.46,1.2,1.2,1.2,18.65,18.5,26.19,22.19,22.24,2.08,888.27,-24.03,-9.42,0.16,5.12,6.61,0,0,19.3,10.2,4,2.8,2.8,-0.722222222
11.94,1.87,1.9,-2.29,-17.07,-4.28,0,-3.91,1022.36,0.18,0.22,0.26,1.14,1.18,1.18,23,9.5,27.3,25.27,25.35,-6.03,889.73,-23.17,-8.28,-0.88,4.06,5.48,0,0,24.4,9.9,2.6,2.1,2.1,-1.355555556
9.41,2.25,2.3,-2.51,-17.39,-5.87,0,-5.89,1026.24,-4.28,0.22,0.29,1.05,1.19,1.19,18.5,10,26.8,31.65,32.77,-7.27,891.98,-20.79,-8.23,-1.72,2.01,3.35,1.09,0,24.8,8.7,2.1,1,1.1,-0.244444444
0,2.21,2.2,-0.93,-10.58,-2.65,0,0,1014.21,0,0.59,1.76,2.16,2.2,2.2,76.5,72.5,42,51.74,52.69,-4.94,883.42,-25.16,-9.81,2.65,6.83,8.04,1.33,0,14.4,13.4,5.4,1.5,1.5,-1.366666667
10.65,2.7,2.7,-2.48,-9.34,-2.75,0,-2.9,1015.57,-2.15,0.04,1.99,2.19,2.23,2.23,4,84,45,52,53,-4.07,884.42,-23.6,-10.01,1.66,6.1,7.3,0,0,20.6,14.1,3.9,1.4,1.2,4.733333333
10.8,2.65,2.7,-2.13,-9.06,-3.85,0,-3.74,1017.16,-2.69,0.06,1.39,2.25,2.3,2.3,6,61,51.5,55.5,56.5,-4.94,885.22,-22.66,-10.48,0.08,4.5,5.67,0,0,21.9,15.3,4.7,1.8,1.5,5.866666667
12.2,2.68,2.7,-3.15,-14.13,-5.19,0,-5.18,1019.03,-3.85,0.08,1.02,1.46,1.98,1.99,9,47,38.86,50.04,50.74,-6.07,885.95,-23.49,-11.04,-2.17,2.35,3.48,0,0,22.4,14.9,4.2,2.2,1.9,1.455555556
13.57,2.99,3,-3.5,-15.53,-4.91,0,-5.8,1021.79,-5.06,0.09,0.78,1.28,1.58,1.58,10,36,38.02,43.51,44.23,-4.88,887.53,-23.77,-11.05,-3.43,0.8,2.12,0,0,19.4,11.6,4.4,1.9,1.8,-0.777777778
13.76,3.13,3.1,-3.21,-15.82,-0.81,0,-4.92,1021.22,-0.92,0.1,0.53,1.3,1.32,1.32,12,22.5,31.12,27.15,27.12,1.63,888.55,-24.07,-10.22,-1.18,3.59,5.11,0,0,16.9,11.6,4.9,3.2,3.2,-0.255555556
